Wine Name,Vintage,Wine Type,Grapes,Producer,Country,Region,Cellar or Fridge Name,Size,Purchase Price,Market Price (USD),Currency,Purchase Date,Source,Source Address,Personal Notes,Tags,Custom Bottle Location,Section Name,Row,Column,Depth,Added On,Drink Window Start,Drink Window End,Bottle Code,Barcode,ABV
Stolpman Vineyards The Great Places Ruben Solorzano Syrah,2020,red,Syrah/Shiraz,Stolpman Vineyards,United States,California,Large Fridge,750ml,,50.34,USD,,,,,,,Shelf - 11,1,11,1,2026-03-01 23:51,2024,2029,703624,2987058899,14.0%
The Vice Napa Valley Cabernet Sauvignon,2022,red,Cabernet Sauvignon,The Vice Wine,United States,California,Large Fridge,750ml,24.99,31.48,USD,"March 1, 2026",,,,,,Shelf - 3,1,11,1,2026-03-01 22:00,2025,2035,207476,8191716771,14.5%
The Vice Napa Valley Cabernet Sauvignon,2022,red,Cabernet Sauvignon,The Vice Wine,United States,California,Large Fridge,750ml,24.99,31.48,USD,"March 1, 2026",,,,,,Shelf - 3,1,10,1,2026-03-01 22:00,2025,2035,976523,6755987154,14.5%
The Vice Napa Valley Cabernet Sauvignon,2022,red,Cabernet Sauvignon,The Vice Wine,United States,California,Large Fridge,750ml,24.99,31.48,USD,"March 1, 2026",,,,,,Shelf - 3,1,8,1,2026-03-01 22:00,2025,2035,587026,0370844173,14.5%
The Vice Napa Valley Cabernet Sauvignon,2022,red,Cabernet Sauvignon,The Vice Wine,United States,California,Large Fridge,750ml,24.99,31.48,USD,"March 1, 2026",,,,,,Shelf - 3,1,9,1,2026-03-01 22:00,2025,2035,355196,9350674542,14.5%
Viberti Giovanni La Gemella Barbera d’Alba,2020,red,Barbera,VIBERTI,Italy,Piedmont,Large Fridge,750ml,,20.85,,,,,,,,Shelf - 14,1,10,1,2026-03-01 23:24,2023,2028,242627,8013277057,14.5%
Viberti Giovanni La Gemella Barbera d’Alba,2020,red,Barbera,VIBERTI,Italy,Piedmont,Large Fridge,750ml,,20.85,,,,,,,,Shelf - 14,1,9,1,2026-03-01 23:24,2023,2028,722223,3553065266,14.5%
Viberti Giovanni La Gemella Barbera d’Alba,2020,red,Barbera,VIBERTI,Italy,Piedmont,Large Fridge,750ml,,20.85,,,,,,,,Shelf - 14,1,11,1,2026-03-01 23:24,2023,2028,260277,8357325790,14.5%
Viberti Giovanni La Gemella Barbera d’Alba,2020,red,Barbera,VIBERTI,Italy,Piedmont,Large Fridge,750ml,,20.85,,,,,,,,Shelf - 14,1,8,1,2026-03-01 23:24,2023,2028,366850,9765362622,14.5%
Viberti Giovanni La Gemella Barbera d’Alba,2020,red,Barbera,VIBERTI,Italy,Piedmont,Large Fridge,750ml,,20.85,USD,,,,,,,Shelf - 14,1,7,1,2026-03-01 22:58,2023,2028,991041,4580745966,14.5%
Villa Cerna Primocolle Chianti Classico,2025,red,Colorino Del Valdarno,Villa Cerna,Italy,Tuscany,Large Fridge,750ml,,,USD,,,,,,,Shelf - 8 (drink first),1,7,1,2026-05-04 02:58,,,895105,8208862653,
Voché Rioja Reserva,2023,red,Graciano,Voché,Spain,Rioja,Large Fridge,750ml,39.00,,USD,"May 4, 2026",,,,,,Shelf - 8 (drink first),1,1,1,2026-05-04 02:56,,,907216,7951420244,
